fibonacci_recursive,fibonacci_closed,fibonacci_loop
1.1920928955078125e-06,0.001371145248413086,7.152557373046875e-06
7.152557373046875e-07,0.001397848129272461,6.9141387939453125e-06
9.5367431640625e-07,0.001277923583984375,7.152557373046875e-06
9.5367431640625e-07,0.0013079643249511719,6.9141387939453125e-06
1.1920928955078125e-06,0.0013980865478515625,6.9141387939453125e-06
9.5367431640625e-07,0.0013380050659179688,7.152557373046875e-06
9.5367431640625e-07,0.0013079643249511719,6.9141387939453125e-06
1.1920928955078125e-06,0.0014011859893798828,6.9141387939453125e-06
9.5367431640625e-07,0.0013399124145507812,6.9141387939453125e-06
9.5367431640625e-07,0.0013680458068847656,7.152557373046875e-06
9.5367431640625e-07,0.0013141632080078125,6.9141387939453125e-06
1.1920928955078125e-06,0.0013387203216552734,7.867813110351562e-06
5.0067901611328125e-06,0.0013382434844970703,7.152557373046875e-06
1.1920928955078125e-06,0.0013689994812011719,6.9141387939453125e-06
9.5367431640625e-07,0.0013382434844970703,6.9141387939453125e-06
9.5367431640625e-07,0.0014410018920898438,8.344650268554688e-06
9.5367431640625e-07,0.0013701915740966797,6.9141387939453125e-06
7.152557373046875e-07,0.001399993896484375,6.9141387939453125e-06
9.5367431640625e-07,0.0013089179992675781,7.867813110351562e-06
1.1920928955078125e-06,0.0013387203216552734,8.344650268554688e-06
9.5367431640625e-07,0.0013401508331298828,7.867813110351562e-06
9.5367431640625e-07,0.0013709068298339844,7.867813110351562e-06
1.1920928955078125e-06,0.0013458728790283203,8.106231689453125e-06
9.5367431640625e-07,0.0013718605041503906,8.106231689453125e-06
2.1457672119140625e-06,0.0013701915740966797,7.867813110351562e-06
9.5367431640625e-07,0.0014002323150634766,7.867813110351562e-06
7.152557373046875e-07,0.0013399124145507812,8.106231689453125e-06
1.1920928955078125e-06,0.0013709068298339844,8.106231689453125e-06
9.5367431640625e-07,0.001371145248413086,7.867813110351562e-06
9.5367431640625e-07,0.0014009475708007812,8.106231689453125e-06
9.5367431640625e-07,0.0013709068298339844,7.867813110351562e-06
1.1920928955078125e-06,0.0014011859893798828,8.106231689453125e-06
9.5367431640625e-07,0.0013997554779052734,7.867813110351562e-06
9.5367431640625e-07,0.0014300346374511719,7.867813110351562e-06
1.1920928955078125e-06,0.0013370513916015625,7.867813110351562e-06
9.5367431640625e-07,0.0013539791107177734,8.106231689453125e-06
2.86102294921875e-06,0.0013098716735839844,7.867813110351562e-06
9.5367431640625e-07,0.0013539791107177734,7.867813110351562e-06
9.5367431640625e-07,0.0013098716735839844,9.059906005859375e-06
1.1920928955078125e-06,0.0013403892517089844,7.867813110351562e-06
9.5367431640625e-07,0.0013408660888671875,8.821487426757812e-06
9.5367431640625e-07,0.0013697147369384766,9.298324584960938e-06
